Source,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Coal,14.9,12.8,10.4,14.5,10.9,9.3,10.9,7.4,8.3,9.7,8.1,7.5,6.6,6.7,7.3,6.9,6.5,7,6.4,5.9,5.3,4.9,1.7,1.7,1.8,1.8,1.9,1.8,1.8,1.9,1.9,3.2,3.2,3,3.2,3.1,2.9,2.8,2.7,2.1,2.1,2.1,1.9,1.5,1.5,1.4,1.2,1.2,1.1,1
Petroleum Products,5.4,7.6,7.5,7.8,6,5.1,5.3,5.5,4.7,5.2,3.8,3.5,2.8,3.4,4.5,3,2.8,3,3.2,2.8,2.8,2.2,2.6,2.6,2.7,2.3,2.9,2.2,3.2,3.2,2.6,3.8,3.5,3.6,4.3,4,2,1.6,1.6,1.2,1,1.1,0.9,1,1.1,1,0.9,0.9,0.9,1
Natural Gas,2.3,2.5,3.1,3.1,3,2.2,2.2,2,1.9,3.1,2.8,3.3,2.9,2.4,3,2.9,2.8,3.1,3.4,3.5,3.2,2.4,2.6,2.5,2.5,2.5,2.6,3.5,2,1.9,2.1,1.4,1.4,1.1,1.2,1.3,1.2,1.1,1.1,1.3,1.2,1.1,0.9,0.7,0.8,0.8,0.8,0.8,0.9,1
Total,22.6,22.9,21,25.5,19.9,16.6,18.4,14.8,14.9,18.1,14.8,14.3,12.3,12.5,14.8,12.7,12,13.1,12.9,12.1,11.3,9.6,6.9,6.9,7,6.7,7.3,7.5,7,7,6.6,8.4,8.1,7.8,8.8,8.4,6.1,5.6,5.4,4.5,4.3,4.2,3.8,3.2,3.4,3.2,2.9,2.9,2.9,2.9
