Source,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Coal,13.9,12.6,10.6,9.2,9.2,9,11.9,10.3,11.2,12.3,13.9,12.1,13.6,15,18,17,19.2,19.8,21.8,22,21.7,21,21.8,23,23.6,25,25.8,25.6,26.9,27,27.6,27,27.9,28.5,27.9,28.3,28,28.4,26.7,23.3,23.2,20.9,16.4,16,17.7,14.4,14.4,9.1,10.7,6.4
Petroleum Products,5.1,6.9,10.5,12,13.2,8.8,8.3,8,9.2,6.9,4.3,3.5,3.1,3,2.7,2.8,2.3,2.4,3.2,5.8,3.5,3.8,2.6,3.9,3.8,1.4,1.4,1.5,3,3.8,2,2.6,1.9,2.9,2.6,3,0.5,0.8,0.4,0.3,0.3,0.2,0.1,0.2,0.4,0.2,0.2,0.1,0.2,0.1
Natural Gas,0.6,0.5,0.4,0.5,0.7,0,0,0,0,0.6,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.6,0.3,1.3,1.1,1.2,0.8,0.6,0.8,1,0.7,0.9,1.2,1.3,1.6,1,1.2,0.6,0.7,1.1,1.2,1.3,1.1,1,1.7,1.1,2.7,1.4,1.1,2.2,2.8,2.8,5.4,5.3
Total,19.6,20,21.5,21.7,23.1,17.7,20.1,18.3,20.5,19.8,18.5,15.9,16.8,18.1,20.8,19.8,21.7,22.9,25.3,29,26.4,26,25.3,27.5,28.3,27.4,27.9,27.9,31.1,32.1,31.2,30.5,31,31.9,31.2,32.4,29.7,30.5,28.2,24.6,25.2,22.3,19.2,17.5,19.2,16.8,17.3,12,16.3,11.8
