Source,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Coal,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.4,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0,0,0.1,0.6,0.1,0.1,0.1,0.1,0.2,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0
Petroleum Products,2.2,2.7,2.7,2.8,2.4,2.1,2.2,2.2,2.1,2.2,1.9,0.9,1.1,1.6,2,1.2,1.3,2,1.4,1.8,1.5,1.4,1.7,1.5,1.8,1.6,1.7,1.4,1.4,1.2,1.5,1.4,1.3,1.4,1.2,1.1,1,0.7,0.7,0.9,0.9,0.8,0.8,0.8,0.9,1.4,1.2,1.2,1.3,1.4
Natural Gas,1.4,1.5,1.6,1.6,1.6,1.4,1.5,1.5,1.5,1.7,1.5,1.7,1.7,1.7,1.4,1.3,1.3,1.4,1.4,1.5,1.3,2.1,2.3,2.4,2.4,2.5,2.5,2.7,3.2,3.2,3.1,3.3,3.5,3.9,3.9,3.9,3.5,3.9,3.9,3.8,3.7,3.7,3.5,3.9,4.2,3.9,3.9,4,4.3,4.2
Total,3.7,4.3,4.5,4.5,4.1,3.5,3.8,3.8,3.6,4.3,3.5,2.7,3,3.5,3.5,2.8,2.8,3.7,3.1,3.3,2.9,3.5,4,3.9,4.3,4.8,4.3,4.2,4.7,4.5,4.7,4.9,4.9,5.3,5.2,5,4.6,4.7,4.7,4.8,4.6,4.6,4.4,4.7,5.1,5.3,5.2,5.2,5.6,5.7
