Source,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleum Products,19.4,19.4,20.4,21.5,21.1,21.1,22,22.8,23.2,22.6,22.5,23,22.2,21.7,21.8,22.5,23.1,24,24.9,25.6,23.4,23.8,24.4,24.2,24.2,24.5,25.2,26,26.7,28.2,28.6,28.6,28.2,29.5,31,31.8,31.7,31.1,29.8,30.9,30.4,29.5,29.3,29.7,29.2,29.9,29.2,29.1,29.2,29.3
Natural Gas,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.4,0.3,0.4,0.2,0.4,0.4,0.4,0.5,1.3,1.4
Total,19.5,19.5,20.6,21.7,21.2,21.2,22.1,22.9,23.3,22.8,22.7,23.1,22.3,21.8,21.9,22.6,23.2,24.1,25,25.7,23.6,24,24.6,24.4,24.3,24.7,25.4,26.1,26.9,28.3,28.7,28.7,28.3,29.7,31.1,31.9,31.9,31.3,30,31,30.7,29.9,29.8,29.9,29.6,30.3,29.6,29.5,30.5,30.7
